ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ902,東京都豊島区東池袋3-2-4 ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ902
ベイトシャローム702,東京都豊島区駒込2-7-18 ベイトシャローム702
ｻﾝﾗｲｽﾞS201,東京都豊島区長崎4-23-18 ｻﾝﾗｲｽﾞS201
富士荘201,東京都豊島区池袋1-12-15 富士荘201
亜星ﾋﾞﾙ101,東京都豊島区南大塚1-33-12 亜星ﾋﾞﾙ101
亜星ﾋﾞﾙ201,東京都豊島区南大塚1-33-12 亜星ﾋﾞﾙ201
亜星ﾋﾞﾙ301,東京都豊島区南大塚1-33-12 亜星ﾋﾞﾙ301
池袋E3ﾋﾞﾙ2F,東京都豊島区東池袋3-9-2 池袋E3ﾋﾞﾙ2F
白鳥ハイツ303,東京都豊島区池袋2-23-23 白鳥ハイツ303
ｺｰﾎﾟ清和201,東京都豊島区東池袋2-13-3 ｺｰﾎﾟ清和201
YFﾊｳｽ101,東京都豊島区池袋2-26-11 YFﾊｳｽ101
YFﾊｳｽ202,東京都豊島区池袋2-26-11 YFﾊｳｽ202
M130007045,東京都豊島区池袋1-9-8 
M130007188,東京都豊島区長崎1-28-14 2階
M130007191,東京都豊島区長崎1-28-14 3階
ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ404,東京都豊島区東池袋3-2-4 ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ404
ﾛｲﾔﾙｺｰﾄ池袋101,東京都豊島区西池袋2-10-18 ﾛｲﾔﾙｺｰﾄ池袋101
蘭スクエア201,東京都豊島区上池袋3-3-5 蘭スクエア201
蘭スクエア202,東京都豊島区上池袋3-3-5 蘭スクエア202
